"","V1","V2","V3","V4","V5","V6"
"u_thr_20",136.375693413524,9.88568451277318,24775.1970194054,19987.6803224966,14686.388202501,28129.639944885
"l_thr_20",-7.32789413059703,-0.889214648003524,-2358.91622011307,-1832.90336625293,-1553.55509014115,-1107.73418804446
"u_thr_80",68.1429817027968,6.02951921567547,4695.83552554754,5862.17016275377,4565.96528628555,5755.75461449419
"l_thr_80",-2.17630978727038,-0.28718515394448,-437.73342644511,-405.885746776056,-338.018967703083,-337.978254803339
