"","V1","V2","V3","V4","V5","V6"
"u_thr_20",160.326291337544,11.6815010395693,29297.5492259918,23624.4442706215,17393.0454179413,33002.5356337066
"l_thr_20",-31.2784920546172,-2.68503117479964,-6881.26842669948,-5469.66731437784,-4260.21230558151,-5980.62987686605
"u_thr_80",79.862863617808,7.08230327727879,5551.43035087965,6906.84614767541,5383.29599528366,6771.37675937711
"l_thr_80",-13.8961917022816,-1.3399692155478,-1293.32825177722,-1450.56173169769,-1155.34967670119,-1353.60039968626
