"","V1","V2","V3","V4","V5","V6"
"u_thr_20",68.0842180617686,6.65442772913534,4604.80469910965,5224.94263791246,4130.71043874029,5540.08738985416
"l_thr_20",-12.6087218735295,-1.3949622890171,-1162.66080208126,-1469.62288345244,-977.121515529683,-1676.45968398719
"u_thr_80",49.7947974675874,6.52663944611842,2271.95246857373,4551.53134126773,1798.47745594465,4804.37278057226
"l_thr_80",-12.0794193272349,-0.918732478962986,-648.74196403291,-1417.27297887305,-455.022223463305,-1380.65248962469
