"","V1","V2","V3","V4","V5","V6"
"u_thr_20",159.041170442265,11.6952915942024,29552.2762658579,23116.9027460572,17179.2951113444,32760.280442136
"l_thr_20",-31.1736365330581,-2.72985998489817,-6816.11128758883,-5077.95777734764,-4079.74640138447,-5893.32523494231
"u_thr_80",81.6310266966567,7.25178641722639,5952.15034460538,6972.08565021392,5745.32436917628,6957.35174420139
"l_thr_80",-14.5282948183911,-1.46850034950126,-1259.34731459953,-1363.52114588159,-1093.40331875305,-1388.4528515007
