"","V1","V2","V3","V4","V5","V6"
"u_thr_20",183.157022989585,15.317736860435,22530.4646547574,40285.8565800171,20389.9182220271,41645.5741749014
"l_thr_20",-9.74533002108758,-0.0469749545821641,-3555.60825478497,-4789.60187632129,-2381.24397318255,-5644.69504961129
"u_thr_80",158.297502135733,10.2954651622326,18290.9978656905,31358.9013618632,18126.4808263225,31349.7614858195
"l_thr_80",-0.75334690363384,0.108175700556866,-1088.53780974557,-111.256074897075,-1309.60382469629,186.120741552231
