"","V1","V2","V3","V4","V5","V6"
"u_thr_20",241.027728892786,19.9271504049401,30356.2865276202,53808.4941169186,27221.26688059,55832.6549422552
"l_thr_20",-67.6160359242892,-4.6563884990873,-11381.4301276477,-18312.2394132228,-9212.59263174545,-19831.7758169651
"u_thr_80",206.012756847544,13.3516520007353,24104.8585683213,40799.9485928913,23957.3062216282,40698.8537090997
"l_thr_80",-48.468601615444,-2.94801113794585,-6902.39851237638,-9552.30330592517,-7140.42922000195,-9162.97148172795
