"","V1","V2","V3","V4","V5","V6"
"u_thr_20",68.5641615928227,6.52276368268011,4732.18924058468,5239.5907931674,4318.41069314368,5602.59408062592
"l_thr_20",-13.9032225050836,-1.25358014270914,-1161.50690272101,-1498.21975735199,-1098.13311056351,-1773.43495371288
"u_thr_80",49.2885839231134,6.37152542596345,2277.623698173,4484.52818656635,1785.50282132557,4755.96069268882
"l_thr_80",-11.3013895152485,-0.836967639669014,-649.091264976038,-1279.09603515866,-446.374770845209,-1349.47074691227
