"","V1","V2","V3","V4","V5","V6"
"u_thr_20",63.0409093158125,6.15134085300081,4244.33810528521,4806.53229282715,3811.47094159842,5089.05319773908
"l_thr_20",-7.56541312757336,-0.891875412882569,-802.194208256833,-1051.21253836714,-657.88201838781,-1225.4254918721
"u_thr_80",45.927658917911,6.06130370080084,2089.40906653581,4178.48107125893,1657.63372598165,4417.80870118495
"l_thr_80",-8.21228077755847,-0.453396733645398,-466.198561994995,-1044.22270886425,-314.178493500308,-994.088410237385
