"","V1","V2","V3","V4","V5","V6"
"u_thr_20",202.447258290652,16.8542080419367,25139.0719457117,44793.402425651,22667.0344415481,46374.6010973526
"l_thr_20",-29.0355653221548,-1.58344613608388,-6164.21554573921,-9297.14772195513,-4658.36019270352,-10373.7219720626
"u_thr_80",174.20258703967,11.3141941084002,20228.9514332341,34505.9171055393,20070.0892914244,34466.1255602462
"l_thr_80",-16.6584318075706,-0.910553245610706,-3026.49137728917,-3258.27181857311,-3253.21228979818,-2930.2433328745
