"","V1","V2","V3","V4","V5","V6"
"u_thr_20",148.350992375534,10.7835927761712,27036.3731226986,21806.062296559,16039.7168102211,30566.0877892958
"l_thr_20",-19.3031930926071,-1.78712291140158,-4620.09232340628,-3651.28534031539,-2906.88369786133,-3544.18203245526
"u_thr_80",74.0029226603024,6.55591124647713,5123.6329382136,6384.50815521459,4974.6306407846,6263.56568693565
"l_thr_80",-8.03625074477598,-0.813577184746142,-865.530839111164,-928.223739236874,-746.684322202135,-845.7893272448
